#,Tracker,Status,Priority,Subject,Assignee,Updated,Description,Last notes
21350,??????,?????,??????????,?? ?????????? ??????? ????? ? ?????????? ???????????.,Dubrovin Denis,07/05/2023 12:39 PM,"*???? ???????????????:*
1. ??????? ???? https://ibis.net.ua/
2. ???????? ?????????? ???????????
3. ??????? ? ?????, ?????? ?????? ""???????? ??????""
4. ??????? ????? ???????? ""???? ?????""

*????????? ?????????:* ???????? ????? ?????????? ?????????, +*?.*+ ?????????? 
*??????????? ?????????:* ???????? ????? ?????????? ?? ?????????, +*?.*+ ??????????",""
21349,??????,?????,??????????,"?????????? ??????????? RU ? ??????? ""????? ?????? ?????????"" ? ?????? ?????",Nina Draganova,07/03/2023 02:51 PM,"*???? ???????????????:*

1)????? ?? ???? https://ibis.net.ua/
2)??? ??????? ??????????? ??????? ? ????? ?????
3)??????? ?????? ""????? ?????? ?????????""

https://gyazo.com/751bc1349b5bcc347d24ff4b8a4de53b

*????????? ?????????:* ?????? ""????? ?????? ?????????"" ??? ??????? ??????????? ??????????????? ?? ??????? ?????
*??????????? ?????????:* ?????????? ??????????? RU ? ??????? ""????? ?????? ?????????"" ? ?????? ?????",""
21348,??????,?????,??????????,"?????????? ??????????? RU ? ??????? ""? ????????"" ? ?????? ?????",Nina Draganova,07/03/2023 02:46 PM,"*???? ???????????????:*

1)????? ?? ???? https://ibis.net.ua/
2)??? ??????? ??????????? ??????? ? ????? ?????
3)??????? ""? ????????""

https://gyazo.com/dfc39d51d5931f295a3dbac191ea33e8


*????????? ?????????:* ?????? ""? ????????"" ??? ??????? ??????????? ??????????????? ?? ??????? ?????
*??????????? ?????????:* ?????????? ??????????? RU ? ??????? ""? ????????"" ? ?????? ?????",""
21347,??????,?????,??????????,?? ???????? ?????? ???????? Ibis ?????? ,???????  ??????? ,07/02/2023 04:18 PM,"*???? ???????????????:*
1) ????? ?? ???? https://ibis.net.ua/
2) ? ?????? ?????? ?? ??????? 
3) https://gyazo.com/a93d0d9c8a7d4fc1e2de5d96dd4b5485
*????????? ?????????:*  ???????? ?????? ???????? Ibis ?????? 
*??????????? ?????????:*  ?? ???????? ?????? ???????? Ibis ?????? ",""
21346,??????,?????,??????????,"??? ???????? ?? ?????? ? ???????? ?? ??????? ??????????? ,????????????? ????????? ?? ?????????? ",???????  ??????? ,07/02/2023 04:11 PM,"*???? ???????????????:*
1) ????? ?? ???? https://ibis.net.ua/
2) ???????? ??????? ??????????? 
3) ? ?????? ??????? ?? ?????? ? ???????? 
4) https://gyazo.com/25df1f8b07df5fa0bf48e110cfdd1db3

*????????? ?????????:* ??? ???????? ?? ?????? ? ???????? ?? ??????? ??????????? ,?????????????  ?? ????????? ?? ?????????? 
*??????????? ?????????:*  ??? ???????? ?? ?????? ? ???????? ?? ??????? ??????????? ,????????????? ????????? ?? ?????????? ",""
21345,??????,?????,??????????,?? ???????? ?????? ?? Whatsapp ,???????  ??????? ,07/02/2023 03:52 PM,"*???? ???????????????:*
1) ????? ?? ???? https://ibis.net.ua/
2) ? ???????? ??????? ?? ""????? ????????? ????? Chiruca""
3) ?????? ?? ??????  Whatsapp 
4) 77d3d84666d7d278b0280bf386ef7b20
*????????? ?????????:* ?? ???????? ?????? ?? Whatsapp 
*??????????? ?????????:* ???????? ?????? ?? Whatsapp ",""
21344,??????,?????,??????????,"??? ?????? ????????? ?????????? ?? ??????? ??????????? ,???? ????????????? ????????? ?? ????????? ???????????  ",???????  ??????? ,07/02/2023 03:39 PM,"*???? ???????????????:*
1) ????? ?? ???? https://ibis.net.ua/
2) ???????? ??????? ??????????? 
3) ??????? ????????? ??????????
4) https://gyazo.com/c4484606b7bab81ca142f7f4dda11832

*????????? ?????????:* ??? ?????? ????????? ?????????? ?? ??????? ??????????? ,???? ????????????? ??  ????????? ?? ????????? ???????????  
*??????????? ?????????:* ??? ?????? ????????? ?????????? ?? ??????? ??????????? ,???? ????????????? ????????? ?? ????????? ???????????  ",""
21343,??????,?????,??????????,"??? ?????? ????????? ?????????? ?? ??????? ??????????? ,???? ????????????? ????????? ?? ????????? ???????????  ",???????  ??????? ,07/02/2023 03:39 PM,"*???? ???????????????:*
1) ????? ?? ???? https://ibis.net.ua/
2) ???????? ??????? ??????????? 
3) ??????? ????????? ??????????
4) https://gyazo.com/c4484606b7bab81ca142f7f4dda11832

*????????? ?????????:* ??? ?????? ????????? ?????????? ?? ??????? ??????????? ,???? ????????????? ??  ????????? ?? ????????? ???????????  
*??????????? ?????????:*??? ?????? ????????? ?????????? ?? ??????? ??????????? ,???? ????????????? ????????? ?? ????????? ???????????  ",""
21342,??????,?????,???????,?????? ?????? ?????????? ? ??????? ??????????? ,???????  ??????? ,07/02/2023 03:34 PM,"*???? ???????????????:*
1) ????? ?? ???? https://ibis.net.ua/
2) ???????? ??????? ??????????? 
3) ??????? ? ?????? ?????????? 
4)  https://gyazo.com/c4484606b7bab81ca142f7f4dda11832
*????????? ?????????:* ???????????? ????? ?  ???????  ?????????? ? ??????? ??????????? 
*??????????? ?????????:*  ?????? ?????? ?????????? ? ??????? ??????????? ",""
21341,??????,?????,???????,"???????? ???? ??? ?????? ??????? (????? ?????? ) ? ??????? ?????????? ? ????????? "" ???????? ??????"" ?? ?????????? ??????????? ",???????  ??????? ,07/02/2023 03:28 PM,"*???? ???????????????:*
1) ????? ?? ???? https://ibis.net.ua/
2) ???????? ? ?????? ?????????? ? ????????? ???????? ?????? 
3) ?????? ?? ?????? ""????? ??????"" ????? ???????? 
4) https://gyazo.com/952bf41cfdee60beab9f23d43eadd52d
*????????? ?????????:* ???? ?????????? ??????  ??? ?????? ??????? (????? ?????? ) ? ??????? ?????????? ? ????????? "" ???????? ??????"" ?? ?????????? ??????????? 
*??????????? ?????????:* ???????? ???? ??? ?????? ??????? (????? ?????? ) ? ??????? ?????????? ? ????????? "" ???????? ??????"" ?? ?????????? ??????????? ",""
21340,??????,?????,??????,?? ??????????????? ????? (??????? ??????? ?? ????? ????) ?? Youtube ? ??????? ????? ,???????  ??????? ,07/02/2023 02:30 PM,"*???? ???????????????:*
1) ????? ?? ???? https://ibis.net.ua/
2) ? ?????? ??????? ? ?????? ????? 
3) ????????????? ????? ""??????? ??????? ?? ????? ????""
*????????? ?????????:*  ??????????????? ????? (??????? ??????? ?? ????? ????) ?? Youtube ? ??????? ????? 
*??????????? ?????????:* ?? ??????????????? ????? (??????? ??????? ?? ????? ????) ?? Youtube ? ??????? ????? ",https://gyazo.com/8ab7e8360d3136c933cc232871bdf0e6
21339,??????,?????,???????,??????????? ????????? ??? ?????????? ??????,???????  ??????? ,07/02/2023 02:15 PM,"*???? ???????????????:*
1) ????? ?? ???? https://ibis.net.ua/
2) ??????? ????? ????? 
3) ??????? ? ???????
4) ?????? ????????? ????? ? ???? ????? 
5) ?????? ????????? ????? ? ???? ??? 
6) ?????? ????????? ?????.
7) ?????? ????????? ?????
8)https://gyazo.com/45a238bb46ca283d8ad0723f73968845 **
*????????? ?????????:*  ???????????? ????????? ??? ?????????? ??????
*??????????? ?????????:* ??????????? ????????? ??? ?????????? ??????",""
21338,??????,?????,??????????,?? ??????????? ?????? ????????? ,???????  ??????? ,07/02/2023 02:01 PM,"*???? ???????????????:*
1) ????? ?? ????  https://ibis.net.ua/
2) ?????? ?? ?????? ?????? ?? ?????? ??????????? 
3) https://gyazo.com/c9d86dd21c918ef2b0644fc4b03f5138
*????????? ?????????:* ??????????? ?????? ????????? 
*??????????? ?????????:* ?? ??????????? ?????? ????????? ",""
21337,??????,?????,??????,??????????? ??????? ??????????? ?????? ,???????  ??????? ,07/02/2023 01:56 PM,"*???? ???????????????:*
1) ????? ?? ????  https://ibis.net.ua/
2) https://gyazo.com/ae206f75145ded3a1ca009ec6b6c6715
*????????? ?????????:* ???????????? ??????? ??????????? ?????? 
*??????????? ?????????:* ??????????? ??????? ??????????? ?????? ",""
21336,??????,?????,??????????,"? ??????? ""???? ?? ????????????""  ??? ?????? ????????? ""??????????"" ???? ????????? ?? ???????? ""??? ??????""",Nina Draganova,07/01/2023 07:41 PM,"Description

*???? ???????????????*

1)????? ?? ???? https://ibis.net.ua/ua
2)??????? ? ?????? ""??????? ???????"" ? ""???? ?? ????????????""
3)??????? ????????? ""??????????""

https://gyazo.com/4055e8bc85dacc7cdebff7c4b10e24d5

*????????? ?????????* ?????????? ??????????? ??????????? ?????? ?????????
*??????????? ?????????* ? ??????? ""???? ?? ????????????""  ??? ?????? ????????? ""??????????"" ???? ????????? ?? ???????? ""??? ??????""",""
21335,??????,?????,??????,"??????????? ??????????? UA ? ???????? ?????????? ""???????????""",Nina Draganova,07/01/2023 06:56 PM,"*???? ???????????????*

1)????? ?? ???? https://ibis.net.ua/ua
2)??????? ? ?????? ""??????? ???????"" ? ""??????? ?? ????????""
3)??????? ?????? ""?????? ??????"" ????????? ""???????????""

https://gyazo.com/5be71419077e373429cc5eb4faf771dc

*????????? ?????????* ???????? ?????????? ?? ?????????? ?????
*??????????? ?????????* ??????????? ??????????? UA ? ???????? ?????????? ""???????????""",""
21334,??????,?????,??????,"?????????? ???????????????? ?????? ""????????""",Nina Draganova,06/29/2023 05:45 PM,"*???? ???????????????*

1)????? ?? ???? https://ibis.net.ua/ua
2)??????? ? ?????? ""??????? ???????"" ? ""????????? ??????""
3)??????? ""???????? ?? ?????"" ""???????? ??? ???????? ?????????""
4)?????? ? ???? ??????? ""????????""

https://gyazo.com/a7f6e9b78cde26e0a573c1e83703f9bd

*????????? ?????????* ???????????????? ?????? ""????????""
*??????????? ?????????* ?????????? ???????????????? ?????? ""????????""",""
21333,??????,?????,??????,"?? ??????? ?????? ""?????????""",Nina Draganova,06/29/2023 03:57 PM,"*???? ???????????????:*

1)??????? ???? "" https://ibis.net.ua/ ""
2)? ?????? ????? ???????? ?? ?????? ""?????????""

https://gyazo.com/efb85bcda467153b8b4379aa53dd5958

*????????? ?????????* ??????? ?????? ""?????????""
*??????????? ?????????* ?? ??????? ?????? ""?????????""",""
21332,??????,?????,??????????,"?? ???????? ?????? ""??????????"" ",Nina Draganova,06/29/2023 03:41 PM,"???? ???????????????

1)????? ?? ???? https://ibis.net.ua/ua
2)??????? ? ?????? ? ?????? ""??????? ???????""
3)??????? ""??????????""
4)?????? ??????

https://gyazo.com/59ac63c7f99af8410d8b6457e0529417

*????????? ?????????* ???????? ?????? ""??????????""
*??????????? ?????????* ?? ???????? ?????? ""??????????"" ",""
21331,??????,?????,??????????,"?? ???????????? ??????? ""?????""",Nina Draganova,06/29/2023 03:28 PM,"*???? ???????????????*

1)????? ?? ???? https://ibis.net.ua/ua
2)??????? ? ?????? ? ?????? ""????????"" ? ????????? ""?????""
3)????? ""?????????? ????? ?? ??????"" ???????? ???? ????????????

https://gyazo.com/ea1494a2bb373db605b58ed1a62d178d

*????????? ?????????* ???????????? ??????? ""?????"" 
*??????????? ?????????* ?? ???????????? ??????? ""?????""",""
21330,??????,?????,??????????,?????????? ??????????? ?? ??????? ???????? ????? ?? ????????? ????????,Nina Draganova,06/29/2023 03:20 PM,"*???? ???????????????*

1)????? ?? ???? https://ibis.net.ua/ua
2)??? ??????? ??????????? ??????? ?? ??????? ???????? ???????? ?? ?????????? ?????

https://gyazo.com/a070af46b256ecc13a6c0291a70bc337

*????????? ?????????* ??????????? ???????? ?? ??????? ?????
*??????????? ?????????* ?????????? ??????????? ?? ??????? ???????? ?? ????????? ????????",""
21329,??????,?????,??????????,"?????????? ??????????? ?????? ? ??????? ""?????????? ????????""",Nina Draganova,06/29/2023 03:07 PM,"*???? ???????????????*

1)????? ?? ???? https://ibis.net.ua/ua
2)??????? ? ?????? ? ?????? ""?????????? ????????"" ""?????????? ?????""
3)???????? ?????? ""???????????? ???????"" ?? ???????

https://gyazo.com/4e91adc7de1b5d6ac913280954561d71

*????????? ?????????* ??????????? ?????? ?? ?????????? ????? 
*??????????? ?????????* ?????????? ??????????? ?????? ",""
21328,??????,?????,??????????,"?? ???????? ?????? ""?????????"" ? ?????? ?????",Vladislava Vishnevska,06/28/2023 06:28 PM,"*???? ???????????????:*
1) ??????? ???? "" https://ibis.net.ua/ ""
2)??????? ? ????? ?????
3)???????? ?? ?????? ""?????????""

https://gyazo.com/1318fc3b56c5f973ae9b2ae07a0068c4

*????????? ?????????:*  ???????? ?????? ""?????????"" ? ?????? ?????
*??????????? ?????????:*  ?? ???????? ?????? ""?????????"" ? ?????? ?????

",""
21317,??????,?????,??????,"??????????? ??????????? UA ? ???????? ?????? ""???????????? ??? ??-74 ??? ???.?????? 5,45*39""",????????? ?????????,06/27/2023 08:37 PM,"??????????? ??????????? UA ? ?????? ""???????????? ??? ??-74 ??? ???.?????? 5,45*39""
???? ???????????????
1)????? ?? ???? https://ibis.net.ua/ua
2)? ????? ???? ??????? ? ?????? ""????????? ?????""
3)??????? ? ?????? ""????"" ??????? ??????? ""?????????""
????????? ?????????
???????? ?????? ????? ?? ?????????? ?????
??????????? ?????????
???????? ?????? ?? ??????? ?????
https://gyazo.com/7815796d1b07602647c66d06067c6fe1",""
21316,??????,?????,??????,"??????????? ??????????? UA ? ?????? ""???????? Derringer ??? ?????? ???????""",????????? ?????????,06/27/2023 08:32 PM,"??????????? ??????????? UA ? ?????? ""???????? Derringer ??? ?????? ???????""
???? ???????????????
1)????? ?? ???? https://ibis.net.ua/ua
2)? ????? ???? ??????? ? ?????? ""????? ?? ????????????"" 
3)??????? ? ?????? ""????? ?? ??????????"" ??????? ??????? ""????? ??? ?????? ???????""
????????? ?????????
???????? ?????? ????? ?? ?????????? ?????
??????????? ?????????
???????? ?????? ?? ??????? ?????
https://gyazo.com/642271a5886548c4a826b4d9f64c32de",""
21315,??????,?????,??????,"??????????? ??????????? UA ? ???????? ??????? ""???????????""",????????? ?????????,06/27/2023 08:21 PM,"??????????? ??????????? UA ? ???????? ??????? ""???????????""
*???? ???????????????*
1)????? ?? ???? https://ibis.net.ua/ua
2)? ????? ???? ??????? ? ?????? ""??????? ?? ????????"" 
3)??????? ? ?????? ""?????? ??????"" ""???????????""
*????????? ?????????*
???????? ??????? ????? ?? ?????????? ????? ???????? ????????? ???????????
*??????????? ?????????*
???????? ??????? ?? ??????? ?????
https://gyazo.com/5b49d2b3bbb7c81dc3f6e921767e4794",""
21314,??????,?????,??????????,"?????? ""????????"" ??? ?????? ? ??????? ?????? ?? ????????????? ",????????? ?????????,06/27/2023 08:07 PM,"?????? ""????????"" ??? ?????? ? ??????? ?????? ?? ????????????? 
???? ???????????????
1)????? ?? ???? https://ibis.net.ua/ua
2)? ???? ??????? ? ?????? ""????? ?? ????????????""
3)??????? ? ?????? ""??????????? ?????""
4)??????? ? ?????? ""?????????????? ?????""
5)??????? ? ?????? ""??????? ?????""
????????? ?????????
??? ?????? ?????? ???????? ?????? ??? ???????????? ????? ?? ?????? ""????????""  
??????????? ?????????
?????? ?? ????????
https://gyazo.com/cd975345d022a5f40645fa99e1f69191",""
21313,??????,?????,??????????,??????????? ????????? ?????? ???????? ??? ???????????,????????? ?????????,06/27/2023 07:16 PM,"??????????? ????????? ?????? ???????? ??? ???????????
???? ???????????????
1)????? ?? ???? https://ibis.net.ua/ua
2)??????? ? ???????????
3)?????? ????? ???????? ?? ??????????? ?????????? ?????????
????????? ?????????
???????? ?????? ? ???????????? ?????? ????????
??????????? ?????????
?????????? ??????????? ? ???????????? ??????? ????????
https://gyazo.com/02fd92a6a4b4ac8060d56b4f24d1b093",""
21312,??????,?????,??????????,"?????? Instagram ""???? ????????? ? ?????"" ???????? ?? ????????",????????? ?????????,06/27/2023 07:05 PM,"?????? Instagram ""???? ????????? ? ?????"" ???????? ?? ????????
???? ???????????????
1)????? ?? ???? https://ibis.net.ua/ua
2)? ????? ???? ??????? ? ?????? ""?????"" 
3)? ???????? ? ???? ????????? ?????? ??????? ? ?????????
4)??????? ?? ?????? ?? ???????? ""???? ????????? ? ?????""
????????? ?????????
??????? ?? ???????? ""???? ????????? ? ?????"" ? ?????????
??????????? ?????????
???????? ?? ????????

https://gyazo.com/ee479a6fa749645090da4ade25e04e0a",""
21311,??????,?????,??????,"??????????? ??????????? UA ? ???????? ??????? ??????? ""????????? ?????""",????????? ?????????,06/27/2023 06:41 PM,"??????????? ??????????? UA ? ???????? ??????? ??????? ""????????? ?????""
???? ???????????????
1)????? ?? ???? https://ibis.net.ua/ua
2)? ????? ???? ??????? ? ?????? ""????????? ??????"" , ""????????? ?????""
3)??????? ????? ""???????????? ??????? Prechtl GS-04 F-Class ???. 300 WSM""
????????? ?????????
???????? ? ???????? ??????  ????? ?? ?????????? ?????
??????????? ?????????
???????? ? ???????? ?????? ?? ??????? ?????
https://ibis.net.ua/ua/products/details/karabin-prechtl-gs-04-f-class-kal-300-wsm-zef/",""
21310,??????,?????,??????,"??????????? ??????????? UA ? ???????? ??????? ??????? ""????????? ?????""",????????? ?????????,06/27/2023 06:37 PM,"??????????? ??????????? UA ? ???????? ??????? ??????? ""????????? ?????""
*???? ???????????????*
1)????? ?? ???? https://ibis.net.ua/ua
2)? ????? ???? ??????? ? ?????? ""????????? ??????"" , ""????????? ?????""
*????????? ?????????*
???????? ?????? ????? ?? ?????????? ?????
*??????????? ?????????*
???????? ?????? ?? ??????? ?????

https://gyazo.com/b70146fcdb1b3b33ef7c65171993e624",""
21309,??????,?????,???????,??????? ?? ????????????  ??? ?????? ?????? ????? 7000 ??????,????????? ?????????,06/22/2023 08:53 PM,"*???? ???????????????:*
1) ????? ?? ???? https://perinalux.com.ua/
2) ??????? ????? ?????
3) ??????? ? ??????? 
4) ?????? ?????????? ?????? ????? 7000 ??????
5) https://gyazo.com/e1ad7b956460adbe6f406a96eb3038e9
*????????? ?????????* : ??????? ????????????  ??? ?????? ?????? ????? 7000 ??????
*??????????? ?????????*  : ??????? ?? ????????????  ??? ?????? ?????? ????? 7000 ??????",""
21308,??????,?????,???????,??? ?????????? ?????? ??????????? ????????? ? ????? ??? ?????????? ?????? ? ??????????,????????? ?????????,06/22/2023 08:52 PM,"???? ???????????????:
1) ??????? ?? ???? https://perinalux.com.ua/
2) ???????? ????? ????? ? ???????
3) ??????? ? ???????
4) ???????? ????? ????? ? ???? ?????? ? ?????????? ????? ???????? ??? ????????? ????????
5) ????? ????????
https://gyazo.com/d96353fca5c6d3be63a86a3b30236875

????????? ?????????:
??? ?????????? ??????  ? ????? ??? ?????????? ?????? ? ?????????? ????? ?????? ?????? ?????????? ??????
??????????? ?????????:
??? ?????????? ?????? ??????????? ????????? ? ????? ??? ?????????? ?????? ? ??????????",""
21307,??????,?????,???????,"?????? ""??????????"" ?????? ???????? ?? ?????????",????????? ?????????,06/22/2023 08:50 PM,"?????? ""??????????"" ?????? ?? ???????? ???????? ?????????? ???????
*???? ???????????????*
1) ??????? ???? perinalux.com.ua
2) ? ?????? ?????? ?????? ???????
3) ?????????? ?????????? ????????????? ""?? ????????????""
*????????? ?????????*
?????????? ?????? ""?? ????????????"" ?????????? ??????? ? ?????? ???????????
*??????????? ?????????*
??? ?????? ???????? ,???????? ????????? ?????? ""????????"", ??? ?????????? ""?? ????????????"" ??????? ????????? ""???????""
https://gyazo.com/2dc614489bae9c502b464b2e458d7dd4",""
21306,??????,?????,???????,"?????? ????????? ?? ???????? ""?????????? ??????"" ? ??????? ""?????? ??????""",Oleksandr Lyshenko,06/22/2023 08:49 PM,"*???? ???????????????:*
*1)* ??????? ??????? ???????? ????? https://perinalux.com.ua/
*2)* ? ?????? ??????? ???????? ????????? ? ?????? ""??????""
*3)* ? ??????? ""??????"" ????????? ? ?????? ""???????"" 
*4)* ? ??????? ?????? ???????? ????? ? ?????????? ??? ? ""???????""
*5)* ??????? ?????? ""???????? ?????""
*6)* ????????? ?????? ""?????? ??????"" ?????????(/**-/-/-/-)
*7)* ?????? ???????, ""?????? ??? ????????""


https://gyazo.com/e052b00215e1fd530cf5d9fda36f2e30
https://gyazo.com/5c7afac8e9c9d9fc54b01bc996bd7586

*????????? ?????????:* ????????? ?? ???????? ""?????????? ??????"" ? ??????? ""?????? ??????""
*??????????? ?????????:* ?????? ????????? ?? ???????? ""?????????? ??????"" ? ??????? ""?????? ??????""",""
21305,??????,?????,??????????,"?????? ??????????? ?????? ""?????"" ? ????????? ?????? ??? ?????? ?????? ? ""???????""",Natali Rudich,06/22/2023 08:47 PM,"*???? ???????????????:*
1) ??????? ?? ???? perinalux.com.ua
2) ??????? ?????
3) ?????? ?????? "" ? ???????""

*????????? ?????????:*
??????"" ?????"" ? ????????? ?????? ???????? ?? ?????? ??? ?? ???? ??? ? ?? ???????

*??????????? ?????????:*
??????"" ?????"" ? ????????? ????????????? ? ? ??? ??????????? ??????? ??????????? ?? ?? ? ?? ??? ",""
21304,??????,?????,???????,"??????????  ????????? ??????? "" ???????"" ??? ?????????? ??????",????????? ?????????,06/22/2023 08:44 PM,"Description

*???? ???????????????:*
1) ??????? ???? perinalux.com.ua
2) ??????? ? ?????? ""???????""
3) ??????? ?????? ??? ?????????? ??????

https://gyazo.com/70355aeecfaa0f5f38f5a0a21255e5d3

4) ??? ?? ??????????  ????????? ????? ????????

https://gyazo.com/9d2c1b88a850f249be27307a2a809d7a

*????????? ?????????:* ?????????? ?????????? ??????
*??????????? ?????????:* ?? ?????????? ?????????? ??????",""
21303,??????,?????,??????????,"??? ????????? ? ??????? ""???????? ??????""",Dubrovin Denis,06/22/2023 08:42 PM,"*???? ???????????????:*
1. ??????? ???? https://perinalux.com.ua/
2. ???????? ?????? ""???????? ??????""
3. ?????? ???????????? ??????? ? ???? ""???""
4. ?????? ????????? ????? ? ???? ???????.

*????????? ?????????:* ? ???? ""???"" ?????? ???  ? ? ???? ""????? ????????"" ?????? ??????????? ????? ????????.
*??????????? ?????????:* ? ???? ""???"" ????? ?????? ????????? ???????. ? ???? ""???????"" ????? ?????? ????????? ????? (???????? ??? ????) ",""
21302,??????,?????,???????,?? ?????????? ?????????? ?????? ,????????? ?????????,06/22/2023 08:38 PM,"*???? ???????????????:*
1) ??????? ???? perinalux.com.ua
2) ??????? ? ?????? ""???????""
3) ??????? ?????? ??? ?????????? ??????

https://gyazo.com/70355aeecfaa0f5f38f5a0a21255e5d3
4) ??? ????????? ???????? ???? ? ???????? , ????? ??????????? 

https://gyazo.com/9d2c1b88a850f249be27307a2a809d7a

*????????? ?????????:*  ????????? ?????????? ??????
*??????????? ?????????:* ?? ?????????? ?????????? ?????? ",""
21301,??????,?????,???????,??????????? ????????? ?????? ? ?????? ????? ,Vladislava Vishnevska,06/22/2023 08:37 PM,"*???? ???????????????:*
1)??????? ???? "" https://perinalux.com.ua/uk/product/krovat-ajris-s-podemnym-mehanizmom/ ""
2)??????? UA ???????????
3)??????? ? ????? ?????

https://gyazo.com/eb60d4882524598d69385f7ad2d24b5a

*????????? ?????????:* ???????????? ????????? ?????? ? ?????? ????? 
*??????????? ?????????:*  ??????????? ????????? ?????? ? ?????? ????? ",""
